src,relation,dst,extra_json
stmt:spank_chain_payment.closeVirtualChannel.4,containsRequire,require:spank_chain_payment.closeVirtualChannel.4.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.closeVirtualChannel,containsStmt,stmt:spank_chain_payment.closeVirtualChannel.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.closeVirtualChannel.4,hasNext,stmt:spank_chain_payment.closeVirtualChannel.5,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.closeVirtualChannel,containsStmt,stmt:spank_chain_payment.closeVirtualChannel.6,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.closeVirtualChannel.5,hasNext,stmt:spank_chain_payment.closeVirtualChannel.6,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.closeVirtualChannel.6,containsAssignment,assign:spank_chain_payment.closeVirtualChannel.6.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.closeVirtualChannel,containsStmt,stmt:spank_chain_payment.closeVirtualChannel.7,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.closeVirtualChannel.6,hasNext,stmt:spank_chain_payment.closeVirtualChannel.7,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.closeVirtualChannel.7,containsAssignment,assign:spank_chain_payment.closeVirtualChannel.7.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.closeVirtualChannel.7,containsAssignment,assign:spank_chain_payment.closeVirtualChannel.7.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.closeVirtualChannel.7,containsAssignment,assign:spank_chain_payment.closeVirtualChannel.7.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.closeVirtualChannel.7,containsAssignment,assign:spank_chain_payment.closeVirtualChannel.7.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.closeVirtualChannel.7,containsAssignment,assign:spank_chain_payment.closeVirtualChannel.7.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.closeVirtualChannel.7,containsAssignment,assign:spank_chain_payment.closeVirtualChannel.7.6,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.closeVirtualChannel.7,containsAssignment,assign:spank_chain_payment.closeVirtualChannel.7.7,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.closeVirtualChannel.7,containsAssignment,assign:spank_chain_payment.closeVirtualChannel.7.8,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.closeVirtualChannel,containsStmt,stmt:spank_chain_payment.closeVirtualChannel.8,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.closeVirtualChannel.7,hasNext,stmt:spank_chain_payment.closeVirtualChannel.8,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.closeVirtualChannel.8,containsCall,call:spank_chain_payment.closeVirtualChannel.8.1,"{""_layers"": [""stage1_ast""]}"
contract:spank_chain_payment,hasFunction,function:spank_chain_payment.byzantineCloseChannel,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,hasModifier,modifier:spank_chain_payment.byzantineCloseChannel.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,entryPointIs,stmt:spank_chain_payment.byzantineCloseChannel.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.1,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.2,containsRequire,require:spank_chain_payment.byzantineCloseChannel.2.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.2,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.3,containsRequire,require:spank_chain_payment.byzantineCloseChannel.3.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.3,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.4,containsRequire,require:spank_chain_payment.byzantineCloseChannel.4.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.4,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.5,containsRequire,require:spank_chain_payment.byzantineCloseChannel.5.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.6,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.5,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.6,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.7,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.6,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.7,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.8,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.7,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.8,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.9,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.8,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.9,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.10,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.9,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.10,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.10,containsAssignment,assign:spank_chain_payment.byzantineCloseChannel.10.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.10,containsAssignment,assign:spank_chain_payment.byzantineCloseChannel.10.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.10,containsRequire,require:spank_chain_payment.byzantineCloseChannel.10.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.11,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.10,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.11,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.11,containsAssignment,assign:spank_chain_payment.byzantineCloseChannel.11.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.11,containsAssignment,assign:spank_chain_payment.byzantineCloseChannel.11.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.11,containsRequire,require:spank_chain_payment.byzantineCloseChannel.11.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.12,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.11,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.12,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.13,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.12,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.13,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.14,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.13,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.14,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.15,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.14,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.15,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.16,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.15,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.16,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.16,containsAssignment,assign:spank_chain_payment.byzantineCloseChannel.16.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.17,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.16,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.17,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.17,containsAssignment,assign:spank_chain_payment.byzantineCloseChannel.17.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.18,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.17,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.18,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.18,containsAssignment,assign:spank_chain_payment.byzantineCloseChannel.18.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.19,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.18,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.19,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.19,containsAssignment,assign:spank_chain_payment.byzantineCloseChannel.19.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.20,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.19,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.20,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.20,containsCall,call:spank_chain_payment.byzantineCloseChannel.20.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.20,containsCall,call:spank_chain_payment.byzantineCloseChannel.20.2,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.21,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.20,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.21,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.21,containsRequire,require:spank_chain_payment.byzantineCloseChannel.21.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.21,containsCall,call:spank_chain_payment.byzantineCloseChannel.21.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.21,containsRequire,require:spank_chain_payment.byzantineCloseChannel.21.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.21,containsCall,call:spank_chain_payment.byzantineCloseChannel.21.2,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.22,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.21,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.22,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.22,containsAssignment,assign:spank_chain_payment.byzantineCloseChannel.22.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.23,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.22,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.23,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.byzantineCloseChannel,containsStmt,stmt:spank_chain_payment.byzantineCloseChannel.24,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.23,hasNext,stmt:spank_chain_payment.byzantineCloseChannel.24,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.byzantineCloseChannel.24,containsCall,call:spank_chain_payment.byzantineCloseChannel.24.1,"{""_layers"": [""stage1_ast""]}"
contract:spank_chain_payment,hasFunction,function:spank_chain_payment._isContained,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment._isContained,hasModifier,modifier:spank_chain_payment._isContained.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment._isContained,containsStmt,stmt:spank_chain_payment._isContained.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment._isContained,entryPointIs,stmt:spank_chain_payment._isContained.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment._isContained,containsStmt,stmt:spank_chain_payment._isContained.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment._isContained.1,hasNext,stmt:spank_chain_payment._isContained.2,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment._isContained,containsStmt,stmt:spank_chain_payment._isContained.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment._isContained.2,hasNext,stmt:spank_chain_payment._isContained.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment._isContained.3,containsAssignment,assign:spank_chain_payment._isContained.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment._isContained.3,containsAssignment,assign:spank_chain_payment._isContained.3.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment._isContained.3,containsAssignment,assign:spank_chain_payment._isContained.3.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment._isContained.3,containsCall,call:spank_chain_payment._isContained.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment._isContained.3,containsCall,call:spank_chain_payment._isContained.3.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment._isContained.3,containsCall,call:spank_chain_payment._isContained.3.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment._isContained.3,containsCall,call:spank_chain_payment._isContained.3.4,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment._isContained,containsStmt,stmt:spank_chain_payment._isContained.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment._isContained.3,hasNext,stmt:spank_chain_payment._isContained.4,"{""_layers"": [""stage1_ast""]}"
contract:spank_chain_payment,hasFunction,function:spank_chain_payment.getChannel,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.getChannel,hasModifier,modifier:spank_chain_payment.getChannel.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.getChannel,containsStmt,stmt:spank_chain_payment.getChannel.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.getChannel,entryPointIs,stmt:spank_chain_payment.getChannel.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.getChannel,containsStmt,stmt:spank_chain_payment.getChannel.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.getChannel.1,hasNext,stmt:spank_chain_payment.getChannel.2,"{""_layers"": [""stage1_ast""]}"
contract:spank_chain_payment,hasFunction,function:spank_chain_payment.getVirtualChannel,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.getVirtualChannel,hasModifier,modifier:spank_chain_payment.getVirtualChannel.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.getVirtualChannel,containsStmt,stmt:spank_chain_payment.getVirtualChannel.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.getVirtualChannel,entryPointIs,stmt:spank_chain_payment.getVirtualChannel.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.getVirtualChannel,containsStmt,stmt:spank_chain_payment.getVirtualChannel.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.getVirtualChannel.1,hasNext,stmt:spank_chain_payment.getVirtualChannel.2,"{""_layers"": [""stage1_ast""]}"
require:spank_chain_payment.createChannel.1.1,readsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.1""}"
stateread:spank_chain_payment.createChannel.1.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.1""}"
stmt:spank_chain_payment.createChannel.4,readsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.4""}"
stateread:spank_chain_payment.createChannel.4.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.4""}"
stmt:spank_chain_payment.createChannel.5,readsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 5, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.5""}"
stateread:spank_chain_payment.createChannel.5.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 5, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.5""}"
stmt:spank_chain_payment.createChannel.8,readsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 8, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.8""}"
stateread:spank_chain_payment.createChannel.8.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 8, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.8""}"
stmt:spank_chain_payment.createChannel.11,readsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 11, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.11""}"
stateread:spank_chain_payment.createChannel.11.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 11, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.11""}"
call:spank_chain_payment.createChannel.12.1,callsExternal,externalcall:spank_chain_payment.createChannel.12,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 12, ""call_kind"": ""HIGH_LEVEL_CALL"", ""dest"": ""REF_74(HumanStandardToken)"", ""function"": ""transferFrom"", ""value"": """", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.12""}"
stmt:spank_chain_payment.createChannel.12,readsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 12, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.12""}"
stateread:spank_chain_payment.createChannel.12.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 12, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.12""}"
stateread:spank_chain_payment.createChannel.13.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 13, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.13""}"
stateread:spank_chain_payment.createChannel.15.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 15, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.15""}"
stateread:spank_chain_payment.createChannel.16.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 16, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.16""}"
stateread:spank_chain_payment.createChannel.17.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 17, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.17""}"
stateread:spank_chain_payment.createChannel.18.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 18, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.18""}"
stateread:spank_chain_payment.createChannel.19.3,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 19, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.createChannel.19""}"
require:spank_chain_payment.LCOpenTimeout.1.1,readsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.LCOpenTimeout.1""}"
stateread:spank_chain_payment.LCOpenTimeout.1.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.LCOpenTimeout.1""}"
stateread:spank_chain_payment.LCOpenTimeout.1.3,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.LCOpenTimeout.1""}"
require:spank_chain_payment.LCOpenTimeout.2.1,readsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.LCOpenTimeout.2""}"
stateread:spank_chain_payment.LCOpenTimeout.2.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.LCOpenTimeout.2""}"
stmt:spank_chain_payment.LCOpenTimeout.3,readsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.LCOpenTimeout.3""}"
stateread:spank_chain_payment.LCOpenTimeout.3.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.LCOpenTimeout.3""}"
require:spank_chain_payment.LCOpenTimeout.4.1,readsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.LCOpenTimeout.4""}"
stateread:spank_chain_payment.LCOpenTimeout.4.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.LCOpenTimeout.4""}"
stateread:spank_chain_payment.LCOpenTimeout.4.3,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.LCOpenTimeout.4""}"
stmt:spank_chain_payment.LCOpenTimeout.6,readsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 6, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.LCOpenTimeout.6""}"
stateread:spank_chain_payment.LCOpenTimeout.6.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 6, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.LCOpenTimeout.6""}"
stateread:spank_chain_payment.LCOpenTimeout.7.1,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 7, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.LCOpenTimeout.7""}"
stateread:spank_chain_payment.LCOpenTimeout.7.2,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 7, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.LCOpenTimeout.7""}"
stateread:spank_chain_payment.LCOpenTimeout.7.4,targetsStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 7, ""state_var"": ""Channels"", ""index"": ""_lcID"", ""evidence_ref"": ""raw_ir:spank_chain_payment.LCOpenTimeout.7""}"
